,year,month,agg_sic_code,nominal_growth,price_growth,real_growth,date
0,2020,1,AGG7,-0.7,0.1,-0.7999999999999999,2020-01-01
1,2020,2,AGG7,1.1,-1.1,2.2,2020-02-01
2,2020,3,AGG7,-11.1,-0.8,-10.299999999999999,2020-03-01
3,2020,4,AGG7,-51.5,-0.9,-50.6,2020-04-01
4,2020,5,AGG7,-31.3,-1.4,-29.900000000000002,2020-05-01
5,2020,6,AGG7,-1.8,-1.0,-0.8,2020-06-01
6,2020,7,AGG7,10.4,0.1,10.3,2020-07-01
7,2020,8,AGG7,12.4,-0.7,13.1,2020-08-01
8,2020,9,AGG7,11.1,-0.7,11.799999999999999,2020-09-01
9,2020,10,AGG7,16.6,-0.5,17.1,2020-10-01
10,2020,11,AGG7,14.4,-0.6,15.0,2020-11-01
11,2020,12,AGG7,13.5,0.1,13.4,2020-12-01
12,2021,1,AGG7,-9.2,1.6,-10.799999999999999,2021-01-01
13,2021,2,AGG7,2.8,1.2,1.5999999999999999,2021-02-01
14,2021,3,AGG7,20.8,2.4,18.400000000000002,2021-03-01
15,2021,4,AGG7,150.3,3.5,146.8,2021-04-01
16,2021,5,AGG7,84.2,4.2,80.0,2021-05-01
17,2021,6,AGG7,18.9,5.0,13.899999999999999,2021-06-01
18,2021,7,AGG7,6.5,5.3,1.2000000000000002,2021-07-01
19,2021,8,AGG7,2.1,6.0,-3.9,2021-08-01
20,2021,9,AGG7,-5.1,6.9,-12.0,2021-09-01
21,2021,10,AGG7,-5.1,8.7,-13.799999999999999,2021-10-01
22,2021,11,AGG7,-3.7,8.8,-12.5,2021-11-01
23,2021,12,AGG7,0.5,8.7,-8.2,2021-12-01
24,2022,1,AGG7,23.9,9.5,14.399999999999999,2022-01-01
25,2022,2,AGG7,8.7,10.8,-2.1000000000000014,2022-02-01
26,2022,3,AGG7,6.4,12.5,-6.1,2022-03-01
27,2022,4,AGG7,-6.0,12.5,-18.5,2022-04-01
28,2022,5,AGG7,-11.3,12.3,-23.6,2022-05-01
29,2022,6,AGG7,-9.2,11.6,-20.799999999999997,2022-06-01
30,2022,7,AGG7,-7.4,10.7,-18.1,2022-07-01
31,2022,8,AGG7,-5.3,10.4,-15.7,2022-08-01
32,2022,9,AGG7,0.6,10.6,-10.0,2022-09-01
33,2022,10,AGG7,-2.8,9.4,-12.2,2022-10-01
34,2022,11,AGG7,1.8,9.6,-7.8,2022-11-01
35,2022,12,AGG7,-5.7,9.5,-15.2,2022-12-01
36,2023,1,AGG7,-1.6,8.7,-10.299999999999999,2023-01-01
37,2023,2,AGG7,-3.2,7.8,-11.0,2023-02-01
38,2023,3,AGG7,-4.9,6.4,-11.3,2023-03-01
39,2023,4,AGG7,0.1,6.3,-6.2,2023-04-01
40,2023,5,AGG7,-0.4,5.5,-5.9,2023-05-01
41,2023,6,AGG7,3.3,4.3,-1.0,2023-06-01
42,2023,7,AGG7,3.5,4.2,-0.7000000000000002,2023-07-01
43,2023,8,AGG7,2.7,3.8,-1.0999999999999996,2023-08-01
44,2023,9,AGG7,-0.8,2.6,-3.4000000000000004,2023-09-01
45,2023,10,AGG7,-1.9,2.2,-4.1,2023-10-01
46,2023,11,AGG7,-3.0,1.3,-4.3,2023-11-01
47,2023,12,AGG7,-3.9,0.9,-4.8,2023-12-01
48,2024,1,AGG7,-4.8,-0.4,-4.3999999999999995,2024-01-01
49,2024,2,AGG7,-3.4,-0.5,-2.9,2024-02-01
50,2024,3,AGG7,-3.2,-1.2,-2.0,2024-03-01
51,2024,4,AGG7,-9.6,-1.3,-8.299999999999999,2024-04-01
52,2024,5,AGG7,-5.1,-2.0,-3.0999999999999996,2024-05-01
53,2024,6,AGG7,-7.5,-1.5,-6.0,2024-06-01
54,2024,7,AGG7,-7.9,-1.7,-6.2,2024-07-01
55,2024,8,AGG7,-6.7,-1.8,-4.9,2024-08-01
56,2024,9,AGG7,-3.6,-2.1,-1.5,2024-09-01
57,2024,10,AGG7,-1.3,-1.3,0.0,2024-10-01
58,2024,11,AGG7,-3.8,-1.7,-2.0999999999999996,2024-11-01
59,2024,12,AGG7,1.1,-1.6,2.7,2024-12-01
